Date,Financials,Consumer Staples,Materials,Energy,Industrials,Health Care,Communication Services,Utilities,Consumer Discretionary,Information Technology,Real Estate
11/30/20,0.152469171,0.130261152,0.086544386,0.038944693,0.145118986,0.141266707,0.04202974,0.05534193,0.131666897,0.055459779,0.020896558
12/31/20,0.150705023,0.128363194,0.089196974,0.038674707,0.144912842,0.137210137,0.040113606,0.055876498,0.136482644,0.056838345,0.021626028
1/31/21,0.15549944,0.12286508,0.091161723,0.040352588,0.145357969,0.134507466,0.039507601,0.053253377,0.139033757,0.057853903,0.020607096
2/28/21,0.160293857,0.117366966,0.093126472,0.042030468,0.145803096,0.131804795,0.038901596,0.050630256,0.14158487,0.05886946,0.019588164
3/31/21,0.160126038,0.11995804,0.090929271,0.040242258,0.147624854,0.128125451,0.039784405,0.050895915,0.144360954,0.058867238,0.019085575
4/30/21,0.159423831,0.120889933,0.091040711,0.038330332,0.147246895,0.128652715,0.039426508,0.049929345,0.145100034,0.06039927,0.019560428
5/31/21,0.15908551,0.123085933,0.091218456,0.038937594,0.14720425,0.129337065,0.038798601,0.049661775,0.142960905,0.059704009,0.020005901
6/30/21,0.151299696,0.121107757,0.088578667,0.03864575,0.145706356,0.134185499,0.039470075,0.047104791,0.155210502,0.060635858,0.018055051
7/31/21,0.151280352,0.117958066,0.090821868,0.03628101,0.147527101,0.137653135,0.038533345,0.046083535,0.150880826,0.062861549,0.020119214
8/31/21,0.152938736,0.115897705,0.087463644,0.036310274,0.147612855,0.14080792,0.039086812,0.047329425,0.146642242,0.065587967,0.02032242
9/30/21,0.15802739,0.114765875,0.083119144,0.042226132,0.146698543,0.13992521,0.040736413,0.045177052,0.147821243,0.06357964,0.017923358
10/31/21,0.158802553,0.114888892,0.081846268,0.041644755,0.144537373,0.140248516,0.037916772,0.046810389,0.149382411,0.065623731,0.01829834
11/30/21,0.154264641,0.11603962,0.08398884,0.039872432,0.144583409,0.142814661,0.038938067,0.047682916,0.147845666,0.065600921,0.018368827
12/31/21,0.15693559,0.118665507,0.076970435,0.029668613,0.153575425,0.145777877,0.038385944,0.046889305,0.149077751,0.065299114,0.018754439
1/31/22,0.165078118,0.117686,0.075875929,0.045964242,0.145394032,0.13893244,0.039304877,0.046578551,0.147716987,0.058888764,0.018580061
2/28/22,0.159012969,0.119878382,0.079036817,0.047444622,0.14494312,0.142250149,0.039972685,0.049740721,0.140715825,0.058229205,0.018775506
3/31/22,0.158631653,0.117056894,0.081209778,0.050105914,0.145982454,0.148393125,0.041520774,0.048348146,0.131263817,0.058811716,0.01867573
4/30/22,0.154141796,0.122590142,0.082435413,0.05222205,0.143996862,0.150912487,0.04225014,0.050452383,0.127824892,0.055432931,0.017740905
5/31/22,0.155211795,0.119074041,0.082750348,0.058390925,0.143010706,0.148074503,0.042485924,0.049960951,0.129262041,0.054604697,0.017174069
6/30/22,0.153078217,0.125778678,0.077830503,0.057511412,0.137683128,0.155659606,0.044141097,0.049287017,0.131585725,0.052236008,0.015208609
7/31/22,0.148318984,0.124362522,0.076592488,0.055281103,0.143839852,0.152811764,0.041200084,0.049491446,0.136723539,0.055386805,0.015991413
8/31/22,0.151319183,0.124766667,0.077797971,0.060143394,0.13901833,0.150517757,0.041632855,0.049840424,0.137047202,0.053162333,0.014753886
9/30/22,0.153835385,0.128074193,0.078497908,0.05954244,0.137186533,0.152842308,0.039479894,0.05042962,0.13395178,0.052819526,0.013340412
10/31/22,0.155693344,0.122027938,0.078501258,0.062468923,0.141325806,0.152043881,0.039202178,0.049864444,0.132441949,0.053120979,0.0133093
11/30/22,0.157735315,0.118843551,0.079695806,0.061363051,0.139484305,0.146952091,0.036796025,0.049533613,0.141646953,0.055024776,0.012924513
12/31/22,0.160560958,0.117945453,0.079029346,0.059570794,0.139041339,0.149117406,0.036281663,0.049706529,0.144269755,0.051034493,0.013442262
1/31/23,0.166676486,0.115111539,0.066171397,0.055680069,0.142540413,0.142095874,0.03726083,0.047847303,0.157654685,0.054814646,0.014146758
2/28/23,0.170814486,0.114682477,0.063378749,0.056450382,0.143310212,0.140169527,0.038514926,0.047916905,0.157148432,0.054536477,0.013077427
3/31/23,0.156033141,0.119800335,0.06085739,0.052579259,0.144674003,0.14415021,0.039482368,0.050112386,0.163480485,0.058006749,0.010823674
4/30/23,0.158225743,0.121054955,0.060246088,0.053775495,0.144039618,0.148006757,0.038295669,0.047223054,0.163407934,0.054495063,0.011229625
