ticker,gics_sector_name
MASN SE Equity,Information Technology
MAU FP Equity,Energy
MB IM Equity,Financials
MBG GY Equity,Consumer Discretionary
MBTN SE Equity,Information Technology
MC FP Equity,Consumer Discretionary
MCRO LN Equity,Information Technology
MDC LN Equity,Health Care
MDN GY Equity,Consumer Discretionary
MERL LN Equity,Consumer Discretionary
METSB FH Equity,Materials
METSO FH Equity,Industrials
MF FP Equity,Financials
MGGT LN Equity,Industrials
MGN NO Equity,Energy
MIG GA Equity,Financials
MIPS SS Equity,Consumer Discretionary
MKS LN Equity,Consumer Staples
ML FP Equity,Consumer Discretionary
MLP GY Equity,Financials
MMB FP Equity,Communication Services
MMT FP Equity,Communication Services
MN IM Equity,Communication Services
MNDI LN Equity,Materials
MNG LN Equity,Financials
MOBN SE Equity,Real Estate
MONC IM Equity,Consumer Discretionary
MONY LN Equity,Communication Services
MOR GY Equity,Health Care
MOWI NO Equity,Consumer Staples
MRK GY Equity,Health Care
MRL SM Equity,Real Estate
MRO LN Equity,Industrials
MRW LN Equity,Consumer Staples
MS IM Equity,Communication Services
MT NA Equity,Materials
MTGB SS Equity,Communication Services
MTO LN Equity,Industrials
MTRO LN Equity,Financials
MTRS SS Equity,Industrials
MTX GY Equity,Industrials
MUV2 GY Equity,Financials
MYCR SS Equity,Information Technology
NCCB SS Equity,Industrials
NDA FH Equity,Financials
NDA GY Equity,Materials
NDA SS Equity,Financials
NEL NO Equity,Industrials
NELES FH Equity,Industrials
NEM GY Equity,Information Technology
NENTB SS Equity,Communication Services
NEOEN FP Equity,Utilities
NESN SE Equity,Consumer Staples
NESTE FH Equity,Energy
NETC DC Equity,Information Technology
NETW LN Equity,Information Technology
NEX FP Equity,Industrials
NEX LN Equity,Industrials
NEXI IM Equity,Financials
NG/ LN Equity,Utilities
NHH SM Equity,Consumer Discretionary
NHY NO Equity,Materials
NIBEB SS Equity,Industrials
NK FP Equity,Materials
NKT DC Equity,Industrials
NMC LN Equity,Health Care
NN NA Equity,Financials
NOBE SE Equity,Health Care
NOBN SE Equity,Health Care
NOD NO Equity,Information Technology
NOKIA FH Equity,Information Technology
NOS PL Equity,Communication Services
NOVN SE Equity,Health Care
NOVOB DC Equity,Health Care
NSISB DC Equity,Materials
NTGY SM Equity,Utilities
NWG LN Equity,Financials
NXT LN Equity,Consumer Discretionary
NYR BB Equity,Materials
O2D GY Equity,Communication Services
OBEL BB Equity,Communication Services
OCDO LN Equity,Consumer Staples
OCE NA Equity,
OCI NA Equity,Materials
OERL SE Equity,Industrials
OMU LN Equity,Financials
OMV AV Equity,Energy
ONT LN Equity,Health Care
ONTEX BB Equity,Consumer Staples
OPAP GA Equity,Consumer Discretionary
OPHR LN Equity,Energy
OR FP Equity,Consumer Staples
ORA FP Equity,Communication Services
ORK NO Equity,Consumer Staples
ORNBV FH Equity,Health Care
ORP FP Equity,Health Care
ORRON SS Equity,Utilities
ORSTED DC Equity,Utilities
OSB LN Equity,Financials
OSR GY Equity,Industrials
OUT1V FH Equity,Materials
OXUR BB Equity,Health Care
